Index,Day,ID,daylength,leaves,days_since_germ,days_since_trueleaf,,,,,,ID,Day_length,Mutilated,Date_germ,Date_trueleaf,Days from germination to first true leaf,Date 2nd leaf,Date infl. emerge,germ to repro,true leaf to repro
921,10/18/2022,S20,Short,NA,22,8,,,,,,,,,,,,,,,
922,10/19/2022,S20,Short,NA,23,9,,,,,,,,,,,,,,,
923,10/21/2022,S20,Short,3,25,11,,,,,,,,,,,,,,,
924,10/24/2022,S20,Short,NA,28,14,,,,,,,,,,,,,,,
925,10/24/2022,S20,Short,3,28,14,,,,,,,,,,,,,,,
926,10/25/2022,S20,Short,4,29,15,,,,,,,,,,,,,,,
927,10/26/2022,S20,Short,4,30,16,,,,,,,,,,,,,,,
928,10/27/2022,S20,Short,4,31,17,,,,,,,,,,,,,,,
929,10/31/2022,S20,Short,4,35,21,,,,,,,,,,,,,,,
930,11/2/2022,S20,Short,4,37,23,,,,,,,,,,,,,,,
931,11/4/2022,S20,Short,4,39,25,,,,,,,,,,,,,,,
932,11/7/2022,S20,Short,4,42,28,,,,,,,,,,,,,,,
933,11/9/2022,S20,Short,4,44,30,,,,,,,,,,,,,,,
934,11/11/2022,S20,Short,5,46,32,,,,,,,,,,,,,,,
935,11/14/2022,S20,Short,5,49,35,,,,,,,,,,,,,,,
936,11/16/2022,S20,Short,5,51,37,,,,,,,,,,,,,,,
937,11/18/2022,S20,Short,6,53,39,,,,,,,,,,,,,,,
938,11/20/2022,S20,Short,7,55,41,,,,,,,,,,,,,,,
939,11/23/2022,S20,Short,7,58,44,,,,,,,,,,,,,,,
940,11/26/2022,S20,Short,9,61,47,,,,,,,,,,,,,,,
941,11/28/2022,S20,Short,9,63,49,,,,,,,,,,,,,,,
942,11/30/2022,S20,Short,10,65,51,,,,,,,,,,,,,,,
943,12/2/2022,S20,Short,11,67,53,,,,,,,,,,,,,,,
944,12/4/2022,S20,Short,12,69,55,,,,,,,,,,,,,,,
945,12/6/2022,S20,Short,12,71,57,,,,,,,,,,,,,,,
946,12/10/2022,S20,Short,NA,75,,,,,,,,,,,,,,,,
947,12/11/2022,S20,Short,NA,76,,,,,,,,,,,,,,,,
948,12/13/2022,S20,Short,NA,78,,,,,,,,,,,,,,,,
949,12/15/2022,S20,Short,NA,80,,,,,,,,,,,,,,,,
950,12/17/2022,S20,Short,NA,82,,,,,,,,,,,,,,,,
951,9/28/2022,S21,Short,NA,2,,,,,,,,,,,,,,,,
952,9/29/2022,S21,Short,NA,3,,,,,,,,,,,,,,,,
953,9/30/2022,S21,Short,NA,4,,,,,,,,,,,,,,,,
954,10/1/2022,S21,Short,NA,5,,,,,,,,,,,,,,,,
955,10/2/2022,S21,Short,NA,6,,,,,,,,,,,,,,,,
956,10/3/2022,S21,Short,NA,7,,,,,,,,,,,,,,,,
957,10/4/2022,S21,Short,NA,8,,,,,,,,,,,,,,,,
958,10/5/2022,S21,Short,NA,9,,,,,,,,,,,,,,,,
959,10/6/2022,S21,Short,NA,10,,,,,,,,,,,,,,,,
960,10/7/2022,S21,Short,NA,11,,,,,,,,,,,,,,,,
961,10/8/2022,S21,Short,NA,12,,,,,,,,,,,,,,,,
962,10/9/2022,S21,Short,NA,13,,,,,,,,,,,,,,,,
963,10/10/2022,S21,Short,NA,14,,,,,,,,,,,,,,,,
964,10/11/2022,S21,Short,NA,15,,,,,,,,,,,,,,,,
965,10/12/2022,S21,Short,NA,16,,,,,,,,,,,,,,,,
966,10/13/2022,S21,Short,NA,17,,,,,,,,,,,,,,,,
967,10/14/2022,S21,Short,NA,18,,,,,,,,,,,,,,,,
968,10/15/2022,S21,Short,NA,19,,,,,,,,,,,,,,,,
969,10/16/2022,S21,Short,NA,20,,,,,,,,,,,,,,,,
970,10/17/2022,S21,Short,2,21,5,,,,,,,,,,,,,,,
971,10/18/2022,S21,Short,NA,22,6,,,,,,,,,,,,,,,
972,10/19/2022,S21,Short,NA,23,7,,,,,,,,,,,,,,,
973,10/21/2022,S21,Short,NA,25,9,,,,,,,,,,,,,,,
974,10/24/2022,S21,Short,NA,28,12,,,,,,,,,,,,,,,
975,10/24/2022,S21,Short,2,28,12,,,,,,,,,,,,,,,
976,10/25/2022,S21,Short,NA,29,13,,,,,,,,,,,,,,,
977,10/26/2022,S21,Short,3,30,14,,,,,,,,,,,,,,,
978,10/27/2022,S21,Short,4,31,15,,,,,,,,,,,,,,,
979,10/31/2022,S21,Short,4,35,19,,,,,,,,,,,,,,,
980,11/2/2022,S21,Short,4,37,21,,,,,,,,,,,,,,,
981,11/4/2022,S21,Short,4,39,23,,,,,,,,,,,,,,,
982,11/7/2022,S21,Short,6,42,26,,,,,,,,,,,,,,,
983,11/9/2022,S21,Short,6,44,28,,,,,,,,,,,,,,,
984,11/11/2022,S21,Short,7,46,30,,,,,,,,,,,,,,,
985,11/14/2022,S21,Short,8,49,33,,,,,,,,,,,,,,,
986,11/16/2022,S21,Short,8,51,35,,,,,,,,,,,,,,,
987,11/18/2022,S21,Short,9,53,37,,,,,,,,,,,,,,,
988,11/20/2022,S21,Short,9,55,39,,,,,,,,,,,,,,,
989,11/23/2022,S21,Short,10,58,42,,,,,,,,,,,,,,,
990,11/26/2022,S21,Short,11,61,45,,,,,,,,,,,,,,,
991,11/28/2022,S21,Short,11,63,47,,,,,,,,,,,,,,,
992,11/30/2022,S21,Short,12,65,49,,,,,,,,,,,,,,,
993,12/2/2022,S21,Short,13,67,51,,,,,,,,,,,,,,,
994,12/4/2022,S21,Short,13,69,53,,,,,,,,,,,,,,,
995,12/6/2022,S21,Short,13,71,55,,,,,,,,,,,,,,,
996,12/10/2022,S21,Short,16,75,59,,,,,,,,,,,,,,,
997,12/11/2022,S21,Short,NA,76,60,,,,,,,,,,,,,,,
998,12/13/2022,S21,Short,16,78,62,,,,,,,,,,,,,,,
999,12/15/2022,S21,Short,18,80,64,,,,,,,,,,,,,,,
1000,12/17/2022,S21,Short,18,82,66,,,,,,,,,,,,,,,
1001,9/28/2022,S22,Short,NA,2,,,,,,,,,,,,,,,,
1002,9/29/2022,S22,Short,NA,3,,,,,,,,,,,,,,,,
1003,9/30/2022,S22,Short,NA,4,,,,,,,,,,,,,,,,
1004,10/1/2022,S22,Short,NA,5,,,,,,,,,,,,,,Date infl. emerge,,
1005,10/2/2022,S22,Short,NA,6,,,,,,,,,,,,,,11/30,,
1006,10/3/2022,S22,Short,NA,7,,,,,,,,,,,,,,11/30,,
1007,10/4/2022,S22,Short,NA,8,,,,,,,,,,,,,,11/30,,
1008,10/5/2022,S22,Short,NA,9,,,,,,,,,,,,,,,,
1009,10/6/2022,S22,Short,NA,10,,,,,,,,,,,,,,12/2,,
1010,10/7/2022,S22,Short,NA,11,,,,,,,,,,,,,,12/4,,
1011,10/8/2022,S22,Short,NA,12,,,,,,,,,,,,,,,,
1012,10/9/2022,S22,Short,NA,13,,,,,,,,,,,,,,11/30,,
1013,10/10/2022,S22,Short,NA,14,,,,,,,,,,,,,,12/4,,
1014,10/11/2022,S22,Short,NA,15,,,,,,,,,,,,,,12/17,,
1015,10/12/2022,S22,Short,NA,16,,,,,,,,,,,,,,,,
1016,10/13/2022,S22,Short,NA,17,,,,,,,,,,,,,,11/30,,
1017,10/14/2022,S22,Short,NA,18,,,,,,,,,,,,,,,,
1018,10/15/2022,S22,Short,NA,19,,,,,,,,,,,,,,11/30,,
1019,10/16/2022,S22,Short,NA,20,,,,,,,,,,,,,,11/30,,
1020,10/17/2022,S22,Short,NA,21,,,,,,,,,,,,,,,,
1021,10/18/2022,S22,Short,2,22,11,,,,,,,,,,,,,12/2,,
1022,10/19/2022,S22,Short,3,23,12,,,,,,,,,,,,,11/30,,
1023,10/21/2022,S22,Short,NA,25,14,,,,,,,,,,,,,,,
1024,10/24/2022,S22,Short,NA,28,17,,,,,,,,,,,,,11/30,,
1025,10/24/2022,S22,Short,4,28,17,,,,,,,,,,,,,11/30,,
1026,10/25/2022,S22,Short,NA,29,18,,,,,,,,,,,,,12/15,,
1027,10/26/2022,S22,Short,NA,30,19,,,,,,,,,,,,,11/30,,
1028,10/27/2022,S22,Short,NA,31,20,,,,,,,,,,,,,11/30,,
1029,10/31/2022,S22,Short,5,35,24,,,,,,,,,,,,,12/4,,
1030,11/2/2022,S22,Short,5,37,26,,,,,,,,,,,,,12/4,,
1031,11/4/2022,S22,Short,6,39,28,,,,,,,,,,,,,11/30,,
1032,11/7/2022,S22,Short,7,42,31,,,,,,,,,,,,,,,
1033,11/9/2022,S22,Short,8,44,33,,,,,,,,,,,,,11/30,,
1034,11/11/2022,S22,Short,8,46,35,,,,,,,,,,,,,11/30,,
1035,11/14/2022,S22,Short,10,49,38,,,,,,,,,,,,,,,
1036,11/16/2022,S22,Short,10,51,40,,,,,,,,,,,,,,,
1037,11/18/2022,S22,Short,12,53,42,,,,,,,,,,,,,,,
1038,11/20/2022,S22,Short,13,55,44,,,,,,,,,,,,,,,
1039,11/23/2022,S22,Short,12,58,47,,,,,,,,,,,,,,,
1040,11/26/2022,S22,Short,13,61,50,,,,,,,,,,,,,,,
1041,11/28/2022,S22,Short,14,63,52,,,,,,,,,,,,,,,
1042,11/30/2022,S22,Short,14,65,54,,,,,,,,,,,,,,,
1043,12/2/2022,S22,Short,13,67,56,,,,,,,,,,,,,,,
1044,12/4/2022,S22,Short,15,69,58,,,,,,,,,,,,,,,
1045,12/6/2022,S22,Short,15,71,60,,,,,,,,,,,,,,,
1046,12/10/2022,S22,Short,NA,75,64,,,,,,,,,,,,,,,
1047,12/11/2022,S22,Short,NA,76,65,,,,,,,,,,,,,11/26,,
1048,12/13/2022,S22,Short,NA,78,67,,,,,,,,,,,,,11/30,,
1049,12/15/2022,S22,Short,NA,80,69,,,,,,,,,,,,,11/30,,
1050,12/17/2022,S22,Short,NA,82,71,,,,,,,,,,,,,11/28,,
1051,9/28/2022,S23,Short,NA,2,,,,,,,,,,,,,,11/26,,
1052,9/29/2022,S23,Short,NA,3,,,,,,,,,,,,,,11/26,,
1053,9/30/2022,S23,Short,NA,4,,,,,,,,,,,,,,11/26,,
1054,10/1/2022,S23,Short,NA,5,,,,,,,,,,,,,,11/28,,
1055,10/2/2022,S23,Short,NA,6,,,,,,,,,,,,,,11/28,,
1056,10/3/2022,S23,Short,NA,7,,,,,,,,,,,,,,11/26,,
1057,10/4/2022,S23,Short,NA,8,,,,,,,,,,,,,,11/28,,
1058,10/5/2022,S23,Short,NA,9,,,,,,,,,,,,,,11/30,,
1059,10/6/2022,S23,Short,NA,10,,,,,,,,,,,,,,11/26,,
1060,10/7/2022,S23,Short,NA,11,,,,,,,,,,,,,,12/6,,
1061,10/8/2022,S23,Short,NA,12,,,,,,,,,,,,,,12/11,,
1062,10/9/2022,S23,Short,NA,13,,,,,,,,,,,,,,12/15/22,,
1063,10/10/2022,S23,Short,NA,14,,,,,,,,,,,,,,12/6,,
1064,10/11/2022,S23,Short,NA,15,,,,,,,,,,,,,,12/6,,
1065,10/12/2022,S23,Short,2,16,4,,,,,,,,,,,,,,,
1066,10/13/2022,S23,Short,NA,17,5,,,,,,,,,,,,,,,
1067,10/14/2022,S23,Short,NA,18,6,,,,,,,,,,,,,,,
1068,10/15/2022,S23,Short,NA,19,7,,,,,,,,,,,,,,,
1069,10/16/2022,S23,Short,NA,20,8,,,,,,,,,,,,,,,
1070,10/17/2022,S23,Short,NA,21,9,,,,,,,,,,,,,,,
1071,10/18/2022,S23,Short,NA,22,10,,,,,,,,,,,,,,,
1072,10/19/2022,S23,Short,3,23,11,,,,,,,,,,,,,,,
1073,10/21/2022,S23,Short,NA,25,13,,,,,,,,,,,,,12/17/22,,
1074,10/24/2022,S23,Short,NA,28,16,,,,,,,,,,,,,,,
1075,10/24/2022,S23,Short,3,28,16,,,,,,,,,,,,,12/17/22,,
1076,10/25/2022,S23,Short,NA,29,17,,,,,,,,,,,,,,,
1077,10/26/2022,S23,Short,4,30,18,,,,,,,,,,,,,,,
1078,10/27/2022,S23,Short,4,31,19,,,,,,,,,,,,,,,
1079,10/31/2022,S23,Short,5,35,23,,,,,,,,,,,,,,,
1080,11/2/2022,S23,Short,5,37,25,,,,,,,,,,,,,,,
1081,11/4/2022,S23,Short,5,39,27,,,,,,,,,,,,,,,
1082,11/7/2022,S23,Short,6,42,30,,,,,,,,,,,,,,,
1083,11/9/2022,S23,Short,6,44,32,,,,,,,,,,,,,,,
1084,11/11/2022,S23,Short,6,46,34,,,,,,,,,,,,,,,
1085,11/14/2022,S23,Short,8,49,37,,,,,,,,,,,,,,,
1086,11/16/2022,S23,Short,8,51,39,,,,,,,,,,,,,,,
1087,11/18/2022,S23,Short,9,53,41,,,,,,,,,,,,,12/13,,
1088,11/20/2022,S23,Short,10,55,43,,,,,,,,,,,,,,,
1089,11/23/2022,S23,Short,11,58,46,,,,,,,,,,,,,,,
1090,11/26/2022,S23,Short,13,61,49,,,,,,,,,,,,,,,
1091,11/28/2022,S23,Short,13,63,51,,,,,,,,,,,,,,,
1092,11/30/2022,S23,Short,13,65,53,,,,,,,,,,,,,,,
1093,12/2/2022,S23,Short,16,67,55,,,,,,,,,,,,,,,
1094,12/4/2022,S23,Short,16,69,57,,,,,,,,,,,,,,,
1095,12/6/2022,S23,Short,16,71,59,,,,,,,,,,,,,,,
1096,12/10/2022,S23,Short,19,75,63,,,,,,,,,,,,,,,
1097,12/11/2022,S23,Short,NA,76,64,,,,,,,,,,,,,12/2,,
1098,12/13/2022,S23,Short,19,78,66,,,,,,,,,,,,,,,
1099,12/15/2022,S23,Short,19,80,68,,,,,,,,,,,,,,,
1100,12/17/2022,S23,Short,19,82,70,,,,,,,,,,,,,,,
1101,9/28/2022,S24,Short,NA,2,,,,,,,,,,,,,,,,
1102,9/29/2022,S24,Short,NA,3,,,,,,,,,,,,,,,,
1103,9/30/2022,S24,Short,NA,4,,,,,,,,,,,,,,,,
1104,10/1/2022,S24,Short,NA,5,,,,,,,,,,,,,,,,
1105,10/2/2022,S24,Short,NA,6,,,,,,,,,,,,,,,,
1106,10/3/2022,S24,Short,NA,7,,,,,,,,,,,,,,,,
1107,10/4/2022,S24,Short,NA,8,,,,,,,,,,,,,,,,
1108,10/5/2022,S24,Short,NA,9,,,,,,,,,,,,,,,,
1109,10/6/2022,S24,Short,NA,10,,,,,,,,,,,,,,,,
1110,10/7/2022,S24,Short,NA,11,,,,,,,,,,,,,,,,
1111,10/8/2022,S24,Short,NA,12,,,,,,,,,,,,,,,,
1112,10/9/2022,S24,Short,NA,13,,,,,,,,,,,,,,,,
1113,10/10/2022,S24,Short,NA,14,,,,,,,,,,,,,,,,
1114,10/11/2022,S24,Short,NA,15,,,,,,,,,,,,,,,,
1115,10/12/2022,S24,Short,2,16,6,,,,,,,,,,,,,,,
1116,10/13/2022,S24,Short,NA,17,7,,,,,,,,,,,,,,,
1117,10/14/2022,S24,Short,NA,18,8,,,,,,,,,,,,,,,
1118,10/15/2022,S24,Short,NA,19,9,,,,,,,,,,,,,,,
1119,10/16/2022,S24,Short,NA,20,10,,,,,,,,,,,,,,,
1120,10/17/2022,S24,Short,NA,21,11,,,,,,,,,,,,,,,
1121,10/18/2022,S24,Short,NA,22,12,,,,,,,,,,,,,,,
1122,10/19/2022,S24,Short,NA,23,13,,,,,,,,,,,,,,,
1123,10/21/2022,S24,Short,NA,25,15,,,,,,,,,,,,,,,
1124,10/24/2022,S24,Short,NA,28,18,,,,,,,,,,,,,,,
1125,10/24/2022,S24,Short,3,28,18,,,,,,,,,,,,,,,
1126,10/25/2022,S24,Short,NA,29,19,,,,,,,,,,,,,,,
1127,10/26/2022,S24,Short,4,30,20,,,,,,,,,,,,,,,
1128,10/27/2022,S24,Short,NA,31,21,,,,,,,,,,,,,,,
1129,10/31/2022,S24,Short,5,35,25,,,,,,,,,,,,,,,
1130,11/2/2022,S24,Short,5,37,27,,,,,,,,,,,,,,,
1131,11/4/2022,S24,Short,5,39,29,,,,,,,,,,,,,,,
1132,11/7/2022,S24,Short,7,42,32,,,,,,,,,,,,,,,
1133,11/9/2022,S24,Short,7,44,34,,,,,,,,,,,,,,,
1134,11/11/2022,S24,Short,8,46,36,,,,,,,,,,,,,,,
1135,11/14/2022,S24,Short,9,49,39,,,,,,,,,,,,,,,
1136,11/16/2022,S24,Short,9,51,41,,,,,,,,,,,,,,,
1137,11/18/2022,S24,Short,10,53,43,,,,,,,,,,,,,,,
1138,11/20/2022,S24,Short,11,55,45,,,,,,,,,,,,,,,
1139,11/23/2022,S24,Short,12,58,48,,,,,,,,,,,,,,,
1140,11/26/2022,S24,Short,13,61,51,,,,,,,,,,,,,,,
1141,11/28/2022,S24,Short,13,63,53,,,,,,,,,,,,,,,
1142,11/30/2022,S24,Short,14,65,55,,,,,,,,,,,,,,,
1143,12/2/2022,S24,Short,16,67,57,,,,,,,,,,,,,,,
1144,12/4/2022,S24,Short,16,69,59,,,,,,,,,,,,,,,
1145,12/6/2022,S24,Short,16,71,61,,,,,,,,,,,,,,,
1146,12/10/2022,S24,Short,16,75,65,,,,,,,,,,,,,,,
1147,12/11/2022,S24,Short,NA,76,66,,,,,,,,,,,,,,,
1148,12/13/2022,S24,Short,16,78,68,,,,,,,,,,,,,,,
1149,12/15/2022,S24,Short,16,80,70,,,,,,,,,,,,,,,
1150,12/17/2022,S24,Short,13,82,72,,,,,,,,,,,,,,,
1151,9/28/2022,S25,Short,NA,1,,,,,,,,,,,,,,,,
1152,9/29/2022,S25,Short,NA,2,,,,,,,,,,,,,,,,
1153,9/30/2022,S25,Short,NA,3,,,,,,,,,,,,,,,,
1154,10/1/2022,S25,Short,NA,4,,,,,,,,,,,,,,,,
1155,10/2/2022,S25,Short,NA,5,,,,,,,,,,,,,,,,
1156,10/3/2022,S25,Short,NA,6,,,,,,,,,,,,,,,,
1157,10/4/2022,S25,Short,NA,7,,,,,,,,,,,,,,,,
1158,10/5/2022,S25,Short,NA,8,,,,,,,,,,,,,,,,
1159,10/6/2022,S25,Short,NA,9,,,,,,,,,,,,,,,,
1160,10/7/2022,S25,Short,NA,10,,,,,,,,,,,,,,,,
1161,10/8/2022,S25,Short,NA,11,,,,,,,,,,,,,,,,
1162,10/9/2022,S25,Short,NA,12,,,,,,,,,,,,,,,,
1163,10/10/2022,S25,Short,NA,13,,,,,,,,,,,,,,,,
1164,10/11/2022,S25,Short,NA,14,,,,,,,,,,,,,,,,
1165,10/12/2022,S25,Short,2,15,8,,,,,,,,,,,,,,,
1166,10/13/2022,S25,Short,NA,16,9,,,,,,,,,,,,,,,
1167,10/14/2022,S25,Short,NA,17,10,,,,,,,,,,,,,,,
1168,10/15/2022,S25,Short,NA,18,11,,,,,,,,,,,,,,,
1169,10/16/2022,S25,Short,NA,19,12,,,,,,,,,,,,,,,
1170,10/17/2022,S25,Short,NA,20,13,,,,,,,,,,,,,,,
1171,10/18/2022,S25,Short,NA,21,14,,,,,,,,,,,,,,,
1172,10/19/2022,S25,Short,4,22,15,,,,,,,,,,,,,,,
1173,10/21/2022,S25,Short,NA,24,17,,,,,,,,,,,,,,,
1174,10/24/2022,S25,Short,NA,27,20,,,,,,,,,,,,,,,
1175,10/24/2022,S25,Short,4,27,20,,,,,,,,,,,,,,,
1176,10/25/2022,S25,Short,NA,28,21,,,,,,,,,,,,,,,
1177,10/26/2022,S25,Short,4,29,22,,,,,,,,,,,,,,,
1178,10/27/2022,S25,Short,4,30,23,,,,,,,,,,,,,,,
1179,10/31/2022,S25,Short,5,34,27,,,,,,,,,,,,,,,
1180,11/2/2022,S25,Short,6,36,29,,,,,,,,,,,,,,,
1181,11/4/2022,S25,Short,6,38,31,,,,,,,,,,,,,,,
1182,11/7/2022,S25,Short,7,41,34,,,,,,,,,,,,,,,
1183,11/9/2022,S25,Short,8,43,36,,,,,,,,,,,,,,,
1184,11/11/2022,S25,Short,9,45,38,,,,,,,,,,,,,,,
1185,11/14/2022,S25,Short,10,48,41,,,,,,,,,,,,,,,
1186,11/16/2022,S25,Short,10,50,43,,,,,,,,,,,,,,,
1187,11/18/2022,S25,Short,11,52,45,,,,,,,,,,,,,,,
1188,11/20/2022,S25,Short,12,54,47,,,,,,,,,,,,,,,
1189,11/23/2022,S25,Short,14,57,50,,,,,,,,,,,,,,,
1190,11/26/2022,S25,Short,16,60,53,,,,,,,,,,,,,,,
1191,11/28/2022,S25,Short,17,62,55,,,,,,,,,,,,,,,
1192,11/30/2022,S25,Short,17,64,57,,,,,,,,,,,,,,,
1193,12/2/2022,S25,Short,19,66,59,,,,,,,,,,,,,,,
1194,12/4/2022,S25,Short,19,68,61,,,,,,,,,,,,,,,
1195,12/6/2022,S25,Short,19,70,63,,,,,,,,,,,,,,,
1196,12/10/2022,S25,Short,20,74,67,,,,,,,,,,,,,,,
1197,12/11/2022,S25,Short,NA,75,68,,,,,,,,,,,,,,,
1198,12/13/2022,S25,Short,20,77,70,,,,,,,,,,,,,,,
1199,12/15/2022,S25,Short,20,79,72,,,,,,,,,,,,,,,
1200,12/17/2022,S25,Short,21,81,74,,,,,,,,,,,,,,,
1201,9/28/2022,S26,Short,NA,,,,,,,,,,,,,,,,,
1202,9/29/2022,S26,Short,NA,0,,,,,,,,,,,,,,,,
1203,9/30/2022,S26,Short,NA,1,,,,,,,,,,,,,,,,
1204,10/1/2022,S26,Short,NA,2,,,,,,,,,,,,,,,,
1205,10/2/2022,S26,Short,NA,3,,,,,,,,,,,,,,,,
1206,10/3/2022,S26,Short,NA,4,,,,,,,,,,,,,,,,
1207,10/4/2022,S26,Short,NA,5,,,,,,,,,,,,,,,,
1208,10/5/2022,S26,Short,NA,6,,,,,,,,,,,,,,,,
1209,10/6/2022,S26,Short,NA,7,,,,,,,,,,,,,,,,
1210,10/7/2022,S26,Short,NA,8,,,,,,,,,,,,,,,,
1211,10/8/2022,S26,Short,NA,9,,,,,,,,,,,,,,,,
1212,10/9/2022,S26,Short,NA,10,,,,,,,,,,,,,,,,
1213,10/10/2022,S26,Short,NA,11,,,,,,,,,,,,,,,,
1214,10/11/2022,S26,Short,NA,12,,,,,,,,,,,,,,,,
1215,10/12/2022,S26,Short,NA,13,,,,,,,,,,,,,,,,
1216,10/13/2022,S26,Short,NA,14,,,,,,,,,,,,,,,,
1217,10/14/2022,S26,Short,NA,15,,,,,,,,,,,,,,,,
1218,10/15/2022,S26,Short,NA,16,,,,,,,,,,,,,,,,
1219,10/16/2022,S26,Short,NA,17,,,,,,,,,,,,,,,,
1220,10/17/2022,S26,Short,NA,18,,,,,,,,,,,,,,,,
1221,10/18/2022,S26,Short,NA,19,,,,,,,,,,,,,,,,
1222,10/19/2022,S26,Short,NA,20,,,,,,,,,,,,,,,,
1223,10/21/2022,S26,Short,3,22,9,,,,,,,,,,,,,,,
1224,10/24/2022,S26,Short,NA,25,12,,,,,,,,,,,,,,,
1225,10/24/2022,S26,Short,3,25,12,,,,,,,,,,,,,,,
1226,10/25/2022,S26,Short,NA,26,13,,,,,,,,,,,,,,,
1227,10/26/2022,S26,Short,3,27,14,,,,,,,,,,,,,,,
1228,10/27/2022,S26,Short,3,28,15,,,,,,,,,,,,,,,
1229,10/31/2022,S26,Short,3,32,19,,,,,,,,,,,,,,,
1230,11/2/2022,S26,Short,3,34,21,,,,,,,,,,,,,,,
1231,11/4/2022,S26,Short,4,36,23,,,,,,,,,,,,,,,
1232,11/7/2022,S26,Short,4,39,26,,,,,,,,,,,,,,,
1233,11/9/2022,S26,Short,5,41,28,,,,,,,,,,,,,,,
1234,11/11/2022,S26,Short,6,43,30,,,,,,,,,,,,,,,
1235,11/14/2022,S26,Short,6,46,33,,,,,,,,,,,,,,,
1236,11/16/2022,S26,Short,6,48,35,,,,,,,,,,,,,,,
1237,11/18/2022,S26,Short,7,50,37,,,,,,,,,,,,,,,
1238,11/20/2022,S26,Short,8,52,39,,,,,,,,,,,,,,,
1239,11/23/2022,S26,Short,8,55,42,,,,,,,,,,,,,,,
1240,11/26/2022,S26,Short,9,58,45,,,,,,,,,,,,,,,
1241,11/28/2022,S26,Short,10,60,47,,,,,,,,,,,,,,,
1242,11/30/2022,S26,Short,11,62,49,,,,,,,,,,,,,,,
1243,12/2/2022,S26,Short,13,64,51,,,,,,,,,,,,,,,
1244,12/4/2022,S26,Short,14,66,53,,,,,,,,,,,,,,,
1245,12/6/2022,S26,Short,14,68,55,,,,,,,,,,,,,,,
1246,12/10/2022,S26,Short,15,72,59,,,,,,,,,,,,,,,
1247,12/11/2022,S26,Short,NA,73,60,,,,,,,,,,,,,,,
1248,12/13/2022,S26,Short,15,75,62,,,,,,,,,,,,,,,
1249,12/15/2022,S26,Short,15,77,64,,,,,,,,,,,,,,,
1250,12/17/2022,S26,Short,17,79,66,,,,,,,,,,,,,,,
1251,9/28/2022,S27,Short,NA,,,,,,,,,,,,,,,,,
1252,9/29/2022,S27,Short,NA,0,,,,,,,,,,,,,,,,
1253,9/30/2022,S27,Short,NA,1,,,,,,,,,,,,,,,,
1254,10/1/2022,S27,Short,NA,2,,,,,,,,,,,,,,,,
1255,10/2/2022,S27,Short,NA,3,,,,,,,,,,,,,,,,
1256,10/3/2022,S27,Short,NA,4,,,,,,,,,,,,,,,,
1257,10/4/2022,S27,Short,NA,5,,,,,,,,,,,,,,,,
1258,10/5/2022,S27,Short,NA,6,,,,,,,,,,,,,,,,
1259,10/6/2022,S27,Short,NA,7,,,,,,,,,,,,,,,,
1260,10/7/2022,S27,Short,NA,8,,,,,,,,,,,,,,,,
1261,10/8/2022,S27,Short,NA,9,,,,,,,,,,,,,,,,
1262,10/9/2022,S27,Short,NA,10,,,,,,,,,,,,,,,,
1263,10/10/2022,S27,Short,NA,11,,,,,,,,,,,,,,,,
1264,10/11/2022,S27,Short,NA,12,,,,,,,,,,,,,,,,
1265,10/12/2022,S27,Short,NA,13,,,,,,,,,,,,,,,,
1266,10/13/2022,S27,Short,NA,14,,,,,,,,,,,,,,,,
1267,10/14/2022,S27,Short,2,15,2,,,,,,,,,,,,,,,
1268,10/15/2022,S27,Short,NA,16,3,,,,,,,,,,,,,,,
1269,10/16/2022,S27,Short,NA,17,4,,,,,,,,,,,,,,,
1270,10/17/2022,S27,Short,NA,18,5,,,,,,,,,,,,,,,
1271,10/18/2022,S27,Short,NA,19,6,,,,,,,,,,,,,,,
1272,10/19/2022,S27,Short,NA,20,7,,,,,,,,,,,,,,,
1273,10/21/2022,S27,Short,NA,22,9,,,,,,,,,,,,,,,
1274,10/24/2022,S27,Short,NA,25,12,,,,,,,,,,,,,,,
1275,10/24/2022,S27,Short,3,25,12,,,,,,,,,,,,,,,
1276,10/25/2022,S27,Short,NA,26,13,,,,,,,,,,,,,,,
1277,10/26/2022,S27,Short,4,27,14,,,,,,,,,,,,,,,
1278,10/27/2022,S27,Short,4,28,15,,,,,,,,,,,,,,,
1279,10/31/2022,S27,Short,5,32,19,,,,,,,,,,,,,,,
1280,11/2/2022,S27,Short,5,34,21,,,,,,,,,,,,,,,
1281,11/4/2022,S27,Short,5,36,23,,,,,,,,,,,,,,,
1282,11/7/2022,S27,Short,6,39,26,,,,,,,,,,,,,,,
1283,11/9/2022,S27,Short,7,41,28,,,,,,,,,,,,,,,
1284,11/11/2022,S27,Short,8,43,30,,,,,,,,,,,,,,,
1285,11/14/2022,S27,Short,10,46,33,,,,,,,,,,,,,,,
1286,11/16/2022,S27,Short,10,48,35,,,,,,,,,,,,,,,
1287,11/18/2022,S27,Short,10,50,37,,,,,,,,,,,,,,,
1288,11/20/2022,S27,Short,11,52,39,,,,,,,,,,,,,,,
1289,11/23/2022,S27,Short,12,55,42,,,,,,,,,,,,,,,
1290,11/26/2022,S27,Short,14,58,45,,,,,,,,,,,,,,,
1291,11/28/2022,S27,Short,14,60,47,,,,,,,,,,,,,,,
